,title,vid_length,approx_views,approx_comments,vid_url
201,@emannebeasha’s voice is stunning! No magic ice cream required! ?? #AGT,3:29,351k,923,https://www.instagram.com/tv/BzJ4KUmBTh-/
202,Do not ask @sideshowopera to pass the silverware. ?? #AGT,7:32,119k,122,https://www.instagram.com/tv/BzJvhqThidR/
203,@izzyandeaston are absolutely captivating! ? #AGT,4:01,844k,"1,334",https://www.instagram.com/tv/BzD2I-fhNcf/
204,Out of the shadows comes a story of love. @VerbaShadow wows Tuesday on #AGT,5:31,199k,668,https://www.instagram.com/tv/By-mjvKBggK/
205,The ceiling can’t hold @terrycrews’ Golden Buzzer! ?? #AGT,9:34,303k,"1,461",https://www.instagram.com/tv/By36dqTBG1l/
206,WOW! @ademshow just defied the laws of...everything? ? #AGT,5:41,176k,443,https://www.instagram.com/tv/By3z8kSBteV/
207,Second chances can change lives.,4:49,594k,529,https://www.instagram.com/tv/Byx9ovYHi6v/
208,Nine dogs. Four humans. One wild ride. #AGT is all-new TUESDAY 8/7c on @NBC,3:46,131k,140,https://www.instagram.com/tv/Bysix2Ph5aP/
209,Nine dogs. Four humans. One wild ride. #AGT is all-new TONIGHT 8/7c on @NBC,3:46,11.7k,9,https://www.instagram.com/tv/ByshkbphgcO/
210,"@tylerbutlerfigueroaviolinist, earned his place at the live shows! ?? #AGT",8:00,487k,"3,859",https://www.instagram.com/tv/Byl5C7UB0g7/
211,Our grandpas are stronger than your grandpas. ???? #AGT,3:19,336k,"1,060",https://www.instagram.com/tv/BylweT-BnSS/
212,@DomjChambers: voted best person to go to the bar with. ?,5:14,126k,132,https://www.instagram.com/tv/Byfm3PQhAuC/
213,@charlottesummersofficial put a spell on us! ? #AGT,4:03,304k,514,https://www.instagram.com/tv/ByajaLJh6tS/
214,@itsjosephallen had the audience on their feet right from the start! ?#AGT,9:28,195k,751,https://www.instagram.com/tv/ByT3O8GB2Sw/
215,@LBKidsOfficial lit up the stage! ?? #AGT,3:58,149k,257,https://www.instagram.com/tv/ByT0ycPhTUg/
216,@beniciobryant hit the judges with raw talent and authenticity. ? #AGT,4:49,295k,882,https://www.instagram.com/tv/ByTrvPkhJOi/
217,Coconuts: ? Blindfold: ? Sledgehammer? ?,5:42,177k,338,https://www.instagram.com/tv/ByK-PH8Bf3k/
218,@kodileerocks touched all of our hearts tonight. ???? #AGTPremiere,8:14,857k,"6,778",https://www.instagram.com/tv/ByB2AU5B-x7/
219,You HAVE to see @SophiePecora’s moving performance! ??,7:21,225k,623,https://www.instagram.com/tv/ByBsK_CheGu/
220,There’s a reason their name is V.Unbeatable!,2:18,239k,760,https://www.instagram.com/tv/Bx2aXA6B_jM/
221,Talent University: Jon Dorenbos,3:15,32k,7,https://www.instagram.com/tv/BnrIVh_HruY/
222,"Global Sensation BTS Performs ""Idol"" on AGT",3:07,35.8k,174,https://www.instagram.com/tv/BnpfgOVnxqz/
223,Howie Mandel Pranks People While Undercover At An AGT Audition,3:28,31k,20,https://www.instagram.com/tv/BncfU9LHFwu/
224,The Illusionists And Light Balance Perform Epic Magic And Dance Collab,2:39,37.7k,16,https://www.instagram.com/tv/BnJzyd5nMVx/
225,Talent University: Brian Justin Crum,3:01,11.9k,5,https://www.instagram.com/tv/BnHFDmPH4i6/
226,"Simon Cowell Sabotages Tyra Banks' Blind Dates, Hilarity Ensues",5:08,56.3k,68,https://www.instagram.com/tv/BnEtGfsHgiq/
