,Address,Neighbourhood,Price,Beds,Baths,Sqft,BuiltIn,Url,PullDate,City,SqftDollar,Preference
64,"15785 Cranley Drive, Surrey, BC",King George Corridor,1249000.0,4 bed,4 bath,3119 sqft,2019,https://www.zolo.ca/surrey-real-estate/15785-cranley-drive,2020-04-04,Surrey,400.4488618146842,0
65,"1560 Maple Street, White Rock, BC",White Rock,1850000.0,5 bed,6 bath,4591 sqft,2016,https://www.zolo.ca/white-rock-real-estate/1560-maple-street,2020-04-04,White Rock,402.9623175778697,y
66,"16663 103 Avenue, Surrey, BC",Fraser Heights,1336095.0,4 bed,4 bath,3315 sqft,2020,https://www.zolo.ca/surrey-real-estate/16663-103-avenue,2020-04-04,Surrey,403.0452488687783,0
67,"11692 94 Avenue, Delta, BC",Annieville,1999999.0,7 bed,9 bath,4951 sqft,2019,https://www.zolo.ca/delta-real-estate/11692-94-avenue,2020-04-04,Delta,403.95859422338924,n
68,"3577 150 Street, Surrey, BC",Morgan Creek,1479000.0,5 bed,5 bath,3608 sqft,2019,https://www.zolo.ca/surrey-real-estate/3577-150-street,2020-04-04,Surrey,409.92239467849225,0
69,"3592 149a Street, Surrey, BC",Morgan Creek,1449000.0,5 bed,5 bath,3516 sqft,2019,https://www.zolo.ca/surrey-real-estate/3592-149a-street,2020-04-04,Surrey,412.1160409556314,0
70,"14899 35a Avenue, Surrey, BC",Morgan Creek,1489900.0,5 bed,6 bath,3612 sqft,2019,https://www.zolo.ca/surrey-real-estate/14899-35a-avenue,2020-04-04,Surrey,412.4861572535991,0
71,"14885 35a Avenue, Surrey, BC",Morgan Creek,1498000.0,5 bed,5 bath,3623 sqft,2019,https://www.zolo.ca/surrey-real-estate/14885-35a-avenue,2020-04-04,Surrey,413.4695004140215,0
72,"13176 20 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,1989000.0,6 bed,8 bath,4783 sqft,2018,https://www.zolo.ca/surrey-real-estate/13176-20-avenue,2020-04-04,Surrey,415.8477942713778,0
73,"5173 2 Avenue, Delta, BC",Pebble Hill,1998888.0,5 bed,6 bath,4798 sqft,2017,https://www.zolo.ca/delta-real-estate/5173-2-avenue,2020-04-04,Delta,416.608586911213,y
74,"3578 149a Street, Surrey, BC",Morgan Creek,1454888.0,5 bed,5 bath,3470 sqft,2019,https://www.zolo.ca/surrey-real-estate/3578-149a-street,2020-04-04,Surrey,419.2760806916427,0
75,"14411 Mann Park Crescent, White Rock, BC",White Rock,3499999.0,7 bed,10 bath,8343 sqft,2019,https://www.zolo.ca/white-rock-real-estate/14411-mann-park-crescent,2020-04-04,White Rock,419.513244636222,yy
76,"3588 149a Street, Surrey, BC",Morgan Creek,1449000.0,5 bed,5 bath,3454 sqft,2019,https://www.zolo.ca/surrey-real-estate/3588-149a-street,2020-04-04,Surrey,419.51360741169657,0
77,"14129 Blackburn Avenue, White Rock, BC",White Rock,2449000.0,5 bed,7 bath,5835 sqft,2018,https://www.zolo.ca/white-rock-real-estate/14129-blackburn-avenue,2020-04-04,White Rock,419.70865467009423,y
78,"10535 159b Street, Surrey, BC",Fraser Heights,1595000.0,6 bed,6 bath,3798 sqft,2016,https://www.zolo.ca/surrey-real-estate/10535-159b-street,2020-04-04,Surrey,419.9578725645076,0
79,"3585 150 Street, Surrey, BC",Morgan Creek,1479000.0,5 bed,5 bath,3498 sqft,2019,https://www.zolo.ca/surrey-real-estate/3585-150-street,2020-04-04,Surrey,422.8130360205832,0
80,"5760 130 Street, Surrey, BC",Panorama Ridge,2988888.0,7 bed,9 bath,7066 sqft,2013,https://www.zolo.ca/surrey-real-estate/5760-130-street,2020-04-04,Surrey,422.99575431644496,0
81,"1892 King George Boulevard, Surrey, BC",King George Corridor,1375000.0,6 bed,5 bath,3237 sqft,2016,https://www.zolo.ca/surrey-real-estate/1892-king-george-boulevard,2020-04-04,Surrey,424.7760271856657,0
82,"15920 Vine Avenue, White Rock, BC",White Rock,1699900.0,6 bed,5 bath,3994 sqft,2018,https://www.zolo.ca/white-rock-real-estate/15920-vine-avenue,2020-04-04,White Rock,425.61342013019527,y
83,"15590 17a Avenue, Surrey, BC",King George Corridor,1799000.0,5 bed,6 bath,4224 sqft,2019,https://www.zolo.ca/surrey-real-estate/15590-17a-avenue,2020-04-04,Surrey,425.8996212121212,0
84,"2368 Boeing Avenue, Richmond, BC",Sea Island,1780000.0,6 bed,6 bath,4171 sqft,2020,https://www.zolo.ca/richmond-real-estate/2368-boeing-avenue,2020-04-04,Richmond,426.7561735794773,n
85,"14907 35a Avenue, Surrey, BC",Morgan Creek,1478000.0,4 bed,6 bath,3460 sqft,2019,https://www.zolo.ca/surrey-real-estate/14907-35a-avenue,2020-04-04,Surrey,427.1676300578035,0
86,"1959 128 Street, Surrey, BC",Crescent Bch Ocean Pk.,2295900.0,6 bed,6 bath,5340 sqft,2017,https://www.zolo.ca/surrey-real-estate/1959-128-street,2020-04-04,Surrey,429.9438202247191,0
87,"16053 8a Avenue, Surrey, BC",King George Corridor,1848000.0,6 bed,5 bath,4270 sqft,2020,https://www.zolo.ca/surrey-real-estate/16053-8a-avenue,2020-04-04,Surrey,432.78688524590166,0
88,"10048 172a Street, Surrey, BC",Fraser Heights,1379000.0,5 bed,5 bath,3175 sqft,2020,https://www.zolo.ca/surrey-real-estate/10048-172a-street,2020-04-04,Surrey,434.3307086614173,0
89,"1026 Pacific Place, Delta, BC",English Bluff,2988000.0,8 bed,8 bath,6874 sqft,2017,https://www.zolo.ca/delta-real-estate/1026-pacific-place,2020-04-04,Delta,434.6814082048298,yy
90,"15440 Roper Avenue, White Rock, BC",White Rock,2188000.0,6 bed,6 bath,5008 sqft,2019,https://www.zolo.ca/white-rock-real-estate/15440-roper-avenue,2020-04-04,White Rock,436.9009584664537,y
91,"3452 164 Street, White Rock, BC",Morgan Creek,3380000.0,6 bed,8 bath,7655 sqft,2014,https://www.zolo.ca/white-rock-real-estate/3452-164-street,2020-04-04,White Rock,441.54147615937296,yy
92,"13698 Blackburn Avenue, White Rock, BC",White Rock,2398000.0,6 bed,7 bath,5417 sqft,2016,https://www.zolo.ca/white-rock-real-estate/13698-blackburn-avenue,2020-04-04,White Rock,442.68045043381943,y
93,"5330 Bentley Crescent, Delta, BC",Hawthorne,1598000.0,4 bed,4 bath,3609 sqft,2011,https://www.zolo.ca/delta-real-estate/5330-bentley-crescent,2020-04-04,Delta,442.7819340537545,yy
94,"15823 Buena Vista Avenue, White Rock, BC",White Rock,2598000.0,5 bed,8 bath,5834 sqft,2018,https://www.zolo.ca/white-rock-real-estate/15823-buena-vista-avenue,2020-04-04,White Rock,445.3205347960233,yy
95,"5032 Walker Avenue, Delta, BC",Pebble Hill,2288000.0,6 bed,6 bath,5128 sqft,2017,https://www.zolo.ca/delta-real-estate/5032-walker-avenue,2020-04-04,Delta,446.1778471138846,y
96,"12798 26b Avenue, Surrey, BC",Crescent Bch Ocean Pk.,2080000.0,7 bed,7 bath,4645 sqft,2016,https://www.zolo.ca/surrey-real-estate/12798-26b-avenue,2020-04-04,Surrey,447.7933261571582,0
97,"1571 136 Street, Surrey, BC",Crescent Bch Ocean Pk.,1888000.0,5 bed,6 bath,4214 sqft,2015,https://www.zolo.ca/surrey-real-estate/1571-136-street,2020-04-04,Surrey,448.03037494067394,0
98,"4977 Linden Drive, Delta, BC",Hawthorne,1785000.0,5 bed,5 bath,3935 sqft,2013,https://www.zolo.ca/delta-real-estate/4977-linden-drive,2020-04-04,Delta,453.6213468869123,n
99,"10961 Westview Place, Delta, BC",Sunshine Hills Woods,1850000.0,5 bed,6 bath,4055 sqft,2019,https://www.zolo.ca/delta-real-estate/10961-westview-place,2020-04-04,Delta,456.2268803945746,y
100,"1560 Brearley Street, White Rock, BC",White Rock,2798800.0,7 bed,8 bath,6072 sqft,2018,https://www.zolo.ca/white-rock-real-estate/1560-brearley-street,2020-04-04,White Rock,460.935441370224,yy
101,"5747 134 Street, Surrey, BC",Panorama Ridge,2249000.0,7 bed,4 bath,4875 sqft,2017,https://www.zolo.ca/surrey-real-estate/5747-134-street,2020-04-04,Surrey,461.3333333333333,0
102,"1588 Kerfoot Road, White Rock, BC",White Rock,2375000.0,8 bed,6 bath,5144 sqft,2018,https://www.zolo.ca/white-rock-real-estate/1588-kerfoot-road,2020-04-04,White Rock,461.70295489891134,yy
103,"12753 15 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,1699900.0,5 bed,4 bath,3570 sqft,2013,https://www.zolo.ca/surrey-real-estate/12753-15-avenue,2020-04-04,Surrey,476.1624649859944,0
104,"1166 Keil Crescent, White Rock, BC",White Rock,2380000.0,5 bed,8 bath,4951 sqft,2016,https://www.zolo.ca/white-rock-real-estate/1166-keil-crescent,2020-04-04,White Rock,480.7109674813169,n
105,"14465 Saturna Drive, White Rock, BC",White Rock,2498000.0,6 bed,6 bath,5194 sqft,2015,https://www.zolo.ca/white-rock-real-estate/14465-saturna-drive,2020-04-04,White Rock,480.9395456295726,yy
106,"2249 154 Street, White Rock, BC",King George Corridor,1698000.0,5 bed,5 bath,3520 sqft,2019,https://www.zolo.ca/white-rock-real-estate/2249-154-street,2020-04-04,White Rock,482.3863636363636,y
107,"1630 Ocean Park Road, Surrey, BC",Crescent Bch Ocean Pk.,1799000.0,5 bed,4 bath,3728 sqft,2013,https://www.zolo.ca/surrey-real-estate/1630-ocean-park-road,2020-04-04,Surrey,482.56437768240346,0
108,"16355 108 Avenue, Surrey, BC",Fraser Heights,1549000.0,4 bed,6 bath,3200 sqft,2019,https://www.zolo.ca/surrey-real-estate/16355-108-avenue,2020-04-04,Surrey,484.0625,0
109,"4651 54a Street, Delta, BC",Delta Manor,1698000.0,7 bed,6 bath,3496 sqft,2020,https://www.zolo.ca/delta-real-estate/4651-54a-street,2020-04-04,Delta,485.6979405034325,n
110,"14195 Wheatley Avenue, Surrey, BC",White Rock,2998800.0,7 bed,9 bath,6139 sqft,2017,https://www.zolo.ca/surrey-real-estate/14195-wheatley-avenue,2020-04-04,Surrey,488.48346636259976,0
111,"14237 Vine Avenue, White Rock, BC",White Rock,2496000.0,6 bed,6 bath,5011 sqft,2018,https://www.zolo.ca/white-rock-real-estate/14237-vine-avenue,2020-04-04,White Rock,498.1041708241868,yy
112,"14262 Malabar Avenue, White Rock, BC",White Rock,3580000.0,5 bed,7 bath,7151 sqft,2019,https://www.zolo.ca/white-rock-real-estate/14262-malabar-avenue,2020-04-04,White Rock,500.6292826178157,yy
113,"2121 128a Street, Surrey, BC",White Rock,2350000.0,5 bed,5 bath,4620 sqft,2013,https://www.zolo.ca/surrey-real-estate/2121-128a-street,2020-04-04,Surrey,508.65800865800867,0
114,"15587 Columbia Avenue, White Rock, BC",White Rock,2188000.0,7 bed,6 bath,4248 sqft,2016,https://www.zolo.ca/white-rock-real-estate/15587-columbia-avenue,2020-04-04,White Rock,515.0659133709981,n
115,"1156 Habgood Street, White Rock, BC",White Rock,3199000.0,6 bed,8 bath,6208 sqft,2019,https://www.zolo.ca/white-rock-real-estate/1156-habgood-street,2020-04-04,White Rock,515.3028350515464,y
116,"2287 154 Street, Surrey, BC",King George Corridor,2198000.0,5 bed,5 bath,4219 sqft,2020,https://www.zolo.ca/surrey-real-estate/2287-154-street,2020-04-04,Surrey,520.9765347238682,0
117,"5137 44 Avenue, Delta, BC",Ladner Elementary,1788888.0,6 bed,6 bath,3413 sqft,2019,https://www.zolo.ca/delta-real-estate/5137-44-avenue,2020-04-04,Delta,524.1394667447993,y
118,"14407 Blackburn Crescent, White Rock, BC",White Rock,2298000.0,5 bed,5 bath,4357 sqft,2011,https://www.zolo.ca/white-rock-real-estate/14407-blackburn-crescent,2020-04-04,White Rock,527.4271287583199,n
119,"13859 Blackburn Avenue, White Rock, BC",White Rock,2978000.0,8 bed,7 bath,5596 sqft,2019,https://www.zolo.ca/white-rock-real-estate/13859-blackburn-avenue,2020-04-04,White Rock,532.1658327376698,yy
120,"14459 Mann Park Crescent, White Rock, BC",White Rock,3388000.0,6 bed,7 bath,6350 sqft,2019,https://www.zolo.ca/white-rock-real-estate/14459-mann-park-crescent,2020-04-04,White Rock,533.5433070866142,y
121,"12713 24 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,2498000.0,5 bed,6 bath,4668 sqft,2015,https://www.zolo.ca/surrey-real-estate/12713-24-avenue,2020-04-04,Surrey,535.1328191945158,0
122,"14858 Prospect Avenue, White Rock, BC",White Rock,4288000.0,22 bed,6 bath,7992 sqft,9999,https://www.zolo.ca/white-rock-real-estate/14858-prospect-avenue,2020-04-04,White Rock,536.5365365365366,n
123,"13158 57 Avenue, Surrey, BC",Panorama Ridge,4200079.0,9 bed,9 bath,7641 sqft,2019,https://www.zolo.ca/surrey-real-estate/13158-57-avenue,2020-04-04,Surrey,549.6766130087685,0
124,"5211 Wallace Avenue, Tsawwassen, BC",Pebble Hill,2180000.0,6 bed,5 bath,3948 sqft,2014,https://www.zolo.ca/tsawwassen-real-estate/5211-wallace-avenue,2020-04-04,Tsawwassen,552.1783181357649,n
125,"1251 Kent Street, White Rock, BC",White Rock,2388000.0,4 bed,5 bath,4286 sqft,2020,https://www.zolo.ca/white-rock-real-estate/1251-kent-street,2020-04-04,White Rock,557.1628558096127,n
126,"3823 156a Street, Surrey, BC",Morgan Creek,2988000.0,5 bed,7 bath,5347 sqft,2017,https://www.zolo.ca/surrey-real-estate/3823-156a-street,2020-04-04,Surrey,558.818028801197,0
127,"2341 153a Street, Surrey, BC",King George Corridor,2158000.0,5 bed,6 bath,3849 sqft,2018,https://www.zolo.ca/surrey-real-estate/2341-153a-street,2020-04-04,Surrey,560.665107820213,0
128,"4-8191 No. 4 Road, Richmond, BC",Garden City,1920000.0,4 bed,3 bath,3417 sqft,2011,https://www.zolo.ca/richmond-real-estate/8191-no-4-road/4,2020-04-04,Richmond,561.8964003511852,n
129,"5171 Dennison Drive, Delta, BC",Tsawwassen Central,1999000.0,4 bed,5 bath,3550 sqft,2016,https://www.zolo.ca/delta-real-estate/5171-dennison-drive,2020-04-04,Delta,563.0985915492957,n
