,View,Url,Address,Neighbourhood,Price,Beds,Baths,Sqft,BuiltIn,PullDate,City,SqftDollar,Days on Site,Lot Size,Size,Style,Taxes,Type,Walk Score,Year Built,Preference
38,ocean view on 2nd floor,https://www.zolo.ca/surrey-real-estate/13247-15a-avenue,"13247 15a Avenue, Surrey, BC",Crescent Bch Ocean Pk.,2688000.0,5 bed,7 bath,6116 sqft,2018,2020-03-31,Surrey,439.5029431000654,"28 (Mar 3, 2020)",10108 sqft,6116 sqft,2 Storey w/Bsmt.,"$8,110 /yr",House/Single Family,45,2018,y
39,ocean view from top floor,https://www.zolo.ca/white-rock-real-estate/15823-buena-vista-avenue,"15823 Buena Vista Avenue, White Rock, BC",White Rock,2598000.0,5 bed,8 bath,5834 sqft,2018,2020-03-31,White Rock,445.3205347960233,"20 (Mar 11, 2020)",7200 sqft,5834 sqft,3 Storey,"$8,675 /yr",House/Single Family,52,2018,yyy
40,"mountain, trees",https://www.zolo.ca/delta-real-estate/10961-westview-place,"10961 Westview Place, Delta, BC",Sunshine Hills Woods,1850000.0,5 bed,6 bath,4055 sqft,2019,2020-03-31,Delta,456.22688039457466,"15 (Mar 16, 2020)",6781 sqft,4055 sqft,2 Storey,"$6,422 /yr",House/Single Family,18,2019,y
41,west beach ocean views,https://www.zolo.ca/white-rock-real-estate/1560-brearley-street,"1560 Brearley Street, White Rock, BC",White Rock,2798800.0,7 bed,8 bath,6072 sqft,2018,2020-03-31,White Rock,460.935441370224,"35 (Feb 25, 2020)",7980 sqft,6072 sqft,2 Storey w/Bsmt.,"$10,088 /yr",House/Single Family,39,2018,n
42,ocean from rooftop deck,https://www.zolo.ca/white-rock-real-estate/1588-kerfoot-road,"1588 Kerfoot Road, White Rock, BC",White Rock,2375000.0,8 bed,6 bath,5144 sqft,2018,2020-03-31,White Rock,461.70295489891134,"166 (Oct 17, 2019)",6859.4 sqft,5144 sqft,2 Storey w/Bsmt.,"$8,082 /yr",House/Single Family,41,2018,n
43,peak-a-boo ocean upper balcony,https://www.zolo.ca/surrey-real-estate/12753-15-avenue,"12753 15 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,1699900.0,5 bed,4 bath,3570 sqft,2013,2020-03-31,Surrey,476.16246498599435,"172 (Oct 10, 2019)",5000 sqft,3570 sqft,2 Storey w/Bsmt.,"$5,117 /yr",House/Single Family,54,2013,
44,golf courses and green belt,https://www.zolo.ca/surrey-real-estate/3378-164-street,"3378 164 Street, Surrey, BC",Morgan Creek,3480000.0,6 bed,7 bath,7280 sqft,2018,2020-03-31,Surrey,478.0219780219781,"215 (Aug 29, 2019)",14133 sqft,7280 sqft,2 Storey w/Bsmt.,"$8,995 /yr",House/Single Family,2,2018,
45,pacific ocean - semiahmoo bay,https://www.zolo.ca/white-rock-real-estate/1166-keil-crescent,"1166 Keil Crescent, White Rock, BC",White Rock,2380000.0,5 bed,8 bath,4951 sqft,2016,2020-03-31,White Rock,480.7109674813169,"116 (Dec 5, 2019)",5606 sqft,4951 sqft,2 Storey w/Bsmt.,"$7,598 /yr",House/Single Family,50,2016,
46,peak-a-boo ocean view,https://www.zolo.ca/white-rock-real-estate/14465-saturna-drive,"14465 Saturna Drive, White Rock, BC",White Rock,2498000.0,6 bed,6 bath,5194 sqft,2015,2020-03-31,White Rock,480.9395456295726,"185 (Sep 27, 2019)",8400 sqft,5194 sqft,2 Storey w/Bsmt.,"$8,881 /yr",House/Single Family,47,2015,
47,peek-a-boo mountain view,https://www.zolo.ca/surrey-real-estate/16355-108-avenue,"16355 108 Avenue, Surrey, BC",Fraser Heights,1549000.0,4 bed,6 bath,3200 sqft,2019,2020-03-31,Surrey,484.0625,"13 (Mar 17, 2020)",6088 sqft,3200 sqft,2 Storey,"$4,298 /yr",House/Single Family,43,2019,
48,partial ocean view,https://www.zolo.ca/surrey-real-estate/14195-wheatley-avenue,"14195 Wheatley Avenue, Surrey, BC",White Rock,2998800.0,7 bed,9 bath,6139 sqft,2017,2020-03-31,Surrey,488.4834663625997,"73 (Jan 17, 2020)",8856 sqft,6139 sqft,3 Storey,"$9,228 /yr",House/Single Family,35,2017,
49,full ocean view,https://www.zolo.ca/white-rock-real-estate/14262-malabar-avenue,"14262 Malabar Avenue, White Rock, BC",White Rock,3580000.0,5 bed,7 bath,7151 sqft,2019,2020-03-31,White Rock,500.6292826178157,"140 (Nov 12, 2019)",8704 sqft,7151 sqft,3 Storey w/Bsmt,"$8,790 /yr",House/Single Family,39,2019,
50,ocean,https://www.zolo.ca/white-rock-real-estate/15587-columbia-avenue,"15587 Columbia Avenue, White Rock, BC",White Rock,2188000.0,7 bed,6 bath,4248 sqft,2016,2020-03-31,White Rock,515.0659133709981,"27 (Mar 4, 2020)",3941 sqft,4248 sqft,3 Storey,"$7,905 /yr",House/Single Family,34,2016,
51,ocean &amp; mountain,https://www.zolo.ca/white-rock-real-estate/1156-habgood-street,"1156 Habgood Street, White Rock, BC",White Rock,3199000.0,6 bed,8 bath,6208 sqft,2019,2020-03-31,White Rock,515.3028350515464,"119 (Dec 3, 2019)",9360 sqft,6208 sqft,2 Storey w/Bsmt.,"$7,894 /yr",House/Single Family,52,2019,
52,ocean view,https://www.zolo.ca/white-rock-real-estate/14407-blackburn-crescent,"14407 Blackburn Crescent, White Rock, BC",White Rock,2298000.0,5 bed,5 bath,4357 sqft,2011,2020-03-31,White Rock,527.4271287583199,"292 (Jun 12, 2019)",8940 sqft,4357 sqft,2 Storey,"$11,657 /yr",House/Single Family,44,2011,
53,partial ocean view,https://www.zolo.ca/white-rock-real-estate/13859-blackburn-avenue,"13859 Blackburn Avenue, White Rock, BC",White Rock,2978000.0,8 bed,7 bath,5596 sqft,2019,2020-03-31,White Rock,532.1658327376698,"5 (Mar 26, 2020)",8198 sqft,5596 sqft,2 Storey w/Bsmt.,"$5,804 /yr",House/Single Family,31,2019,
54,oceanview,https://www.zolo.ca/white-rock-real-estate/14459-mann-park-crescent,"14459 Mann Park Crescent, White Rock, BC",White Rock,3388000.0,6 bed,7 bath,6350 sqft,2019,2020-03-31,White Rock,533.5433070866142,"87 (Jan 3, 2020)",9960 sqft,6350 sqft,2 Storey w/Bsmt.,"$8,307 /yr",House/Single Family,41,2019,
55,white rock ocean,https://www.zolo.ca/surrey-real-estate/13158-57-avenue,"13158 57 Avenue, Surrey, BC",Panorama Ridge,4200079.0,9 bed,9 bath,7641 sqft,2019,2020-03-31,Surrey,549.6766130087684,"111 (Dec 11, 2019)",20995 sqft,7641 sqft,"2 Storey w/Bsmt., 3 Storey","$6,037 /yr",House/Single Family,8,2019,
56,ocean &amp; mt. baker,https://www.zolo.ca/white-rock-real-estate/1251-kent-street,"1251 Kent Street, White Rock, BC",White Rock,2388000.0,4 bed,5 bath,4286 sqft,2020,2020-03-31,White Rock,557.1628558096127,"34 (Feb 25, 2020)",6270 sqft,4286 sqft,2 Storey w/Bsmt.,"$7,630 /yr",House/Single Family,54,2020,
57,panoramic ocean views,https://www.zolo.ca/white-rock-real-estate/15767-pacific-avenue,"15767 Pacific Avenue, White Rock, BC",White Rock,3649900.0,8 bed,8 bath,6386 sqft,2014,2020-03-31,White Rock,571.5471343564046,"242 (Aug 1, 2019)",9243 sqft,6386 sqft,"2 Storey w/Bsmt., 3 Storey","$11,702 /yr",House/Single Family,58,2014,
58,beautiful panoramic ocean view,https://www.zolo.ca/white-rock-real-estate/15031-victoria-avenue,"15031 Victoria Avenue, White Rock, BC",White Rock,3488000.0,5 bed,7 bath,6079 sqft,2016,2020-03-31,White Rock,573.778582003619,"15 (Mar 16, 2020)",4410 sqft,6079 sqft,3 Storey,"$12,358 /yr",House/Single Family,86,2016,
59,ocean,https://www.zolo.ca/white-rock-real-estate/14093-marine-drive,"14093 Marine Drive, White Rock, BC",White Rock,3980000.0,6 bed,8 bath,6922 sqft,2018,2020-03-31,White Rock,574.9783299624387,"112 (Dec 9, 2019)",8378 sqft,6922 sqft,2 Storey w/Bsmt.,"$11,921 /yr",House/Single Family,41,2018,
60,ocean,https://www.zolo.ca/surrey-real-estate/13529-14-avenue,"13529 14 Avenue, Surrey, BC",Crescent Bch Ocean Pk.,2380000.0,4 bed,5 bath,4136 sqft,2015,2020-03-31,Surrey,575.4352030947775,"11 (Mar 19, 2020)",9938 sqft,4136 sqft,2 Storey,"$7,360 /yr",House/Single Family,44,2015,
61,diefenbaker park,https://www.zolo.ca/delta-real-estate/5393-1a-avenue,"5393 1a Avenue, Delta, BC",Pebble Hill,3388800.0,5 bed,7 bath,5810 sqft,2019,2020-03-31,Delta,583.2702237521514,"194 (Sep 19, 2019)",12345 sqft,5810 sqft,3 Storey,"$6,074 /yr",House/Single Family,17,2019,
62,full ocean view and mt baker,https://www.zolo.ca/white-rock-real-estate/15368-victoria-avenue,"15368 Victoria Avenue, White Rock, BC",White Rock,2700000.0,4 bed,6 bath,4629 sqft,2016,2020-03-31,White Rock,583.2793259883343,"154 (Oct 29, 2019)",3000 sqft,4629 sqft,3 Storey w/Bsmt,"$9,499 /yr",House/Single Family,68,2016,
63,boundary bay and n.shore mtns,https://www.zolo.ca/delta-real-estate/353-55-street,"353 55 Street, Delta, BC",Pebble Hill,3588000.0,7 bed,6 bath,6061 sqft,2019,2020-03-31,Delta,591.981521201122,"78 (Jan 13, 2020)",10720 sqft,6061 sqft,3 Storey,"$7,771 /yr",House/Single Family,19,2019,
64,mountain,https://www.zolo.ca/richmond-real-estate/11200-westminster-highway,"11200 Westminster Highway, Richmond, BC",McLennan,3580000.0,7 bed,7 bath,6020 sqft,2018,2020-03-31,Richmond,594.6843853820598,"77 (Jan 14, 2020)",37719 sqft,6020 sqft,2 Storey,"$7,536 /yr",House/Single Family,6,2018,
65,north mountain,https://www.zolo.ca/richmond-real-estate/10640-gilmore-crescent,"10640 Gilmore Crescent, Richmond, BC",Bridgeport RI,2298000.0,6 bed,7 bath,3800 sqft,2019,2020-03-31,Richmond,604.7368421052631,"87 (Jan 3, 2020)",8512 sqft,3800 sqft,2 Storey w/Bsmt.,"$4,805 /yr",House/Single Family,54,2019,
66,ocean view,https://www.zolo.ca/surrey-real-estate/13555-13a-avenue,"13555 13a Avenue, Surrey, BC",Crescent Bch Ocean Pk.,3160000.0,9 bed,9 bath,5212 sqft,2014,2020-03-31,Surrey,606.2931696085957,"32 (Feb 27, 2020)",9499 sqft,5212 sqft,2 Storey w/Bsmt.,"$12,325 /yr",House/Single Family,10,2014,
67,mountain &amp; city,https://www.zolo.ca/vancouver-real-estate/6526-dawson-street,"6526 Dawson Street, Vancouver, BC",Killarney VE,2868000.0,9 bed,7 bath,4704 sqft,2013,2020-03-31,Vancouver,609.6938775510204,"39 (Feb 21, 2020)",5640 sqft,4704 sqft,"2 Storey w/Bsmt., Laneway House","$7,923 /yr",House/Single Family,65,2013,
68,south from master bedroom,https://www.zolo.ca/vancouver-real-estate/496-east-56th-avenue,"496 56th Avenue E, Vancouver, BC",South Vancouver,2899990.0,6 bed,8 bath,4545 sqft,2017,2020-03-31,Vancouver,638.0616061606162,"27 (Mar 3, 2020)",5338.2 sqft,4545 sqft,3 Storey,"$7,623 /yr",House/Single Family,66,2017,
69,panoramic unobstructed ocean,https://www.zolo.ca/white-rock-real-estate/14283-marine-drive,"14283 Marine Drive, White Rock, BC",White Rock,4388000.0,6 bed,6 bath,6859 sqft,2016,2020-03-31,White Rock,639.7434028284007,"34 (Feb 25, 2020)",9000 sqft,6859 sqft,2 Storey w/Bsmt.,"$14,134 /yr",House/Single Family,32,2016,
70,3 level w/ocean views,https://www.zolo.ca/white-rock-real-estate/14458-blackburn-crescent,"14458 Blackburn Crescent, White Rock, BC",White Rock,4749800.0,5 bed,7 bath,7381 sqft,2019,2020-03-31,White Rock,643.5171385991058,"151 (Nov 1, 2019)",9457 sqft,7381 sqft,2 Storey w/Bsmt.,"$13,360 /yr",House/Single Family,37,2019,
71,17 and 18 fairway/tee,https://www.zolo.ca/surrey-real-estate/3570-morgan-creek-way,"3570 Morgan Creek Way, Surrey, BC",Morgan Creek,3188000.0,5 bed,6 bath,4880 sqft,2019,2020-03-31,Surrey,653.2786885245903,"24 (Mar 6, 2020)",10075 sqft,4880 sqft,2 Storey w/Bsmt.,"$6,631 /yr",House/Single Family,9,2019,
72,water &amp; mountains,https://www.zolo.ca/richmond-real-estate/3131-williams-road,"3131 Williams Road, Richmond, BC",Seafair,3288888.0,6 bed,8 bath,4895 sqft,2019,2020-03-31,Richmond,671.8872318692544,"101 (Dec 20, 2019)",7012 sqft,4895 sqft,3 Storey,"$5,975 /yr",House/Single Family,19,2019,
73,ocean view,https://www.zolo.ca/white-rock-real-estate/14020-marine-drive,"14020 Marine Drive, White Rock, BC",White Rock,4988000.0,5 bed,6 bath,7322 sqft,2019,2020-03-31,White Rock,681.234635345534,"175 (Oct 7, 2019)",13939 sqft,7322 sqft,3 Storey,"$15,314 /yr",House/Single Family,44,2019,
74,ocean view,https://www.zolo.ca/surrey-real-estate/1309-129a-street,"1309 129a Street, Surrey, BC",Crescent Bch Ocean Pk.,2298000.0,4 bed,5 bath,3308 sqft,2014,2020-03-31,Surrey,694.6795646916565,"78 (Jan 13, 2020)",5000 sqft,3308 sqft,"2 Storey w/Bsmt., Reverse 2 Storey w/Bsmt","$5,896 /yr",House/Single Family,45,2014,
