,ig_handle,igtv_code,title,url,video_length,views,comment_count,likes,caption,upload_date
126,agt,BlvnJg_BznZ,The Sacred Riana: Summons A Terrifying Imaginary Friend,https://www.instagram.com/tv/BlvnJg_BznZ/,4:49,47698,95,1803,SHE'S BACK. The Sacred Riana conjures an imaginary friend to play with Mel B and this is the scariest magic Mel has seen.,
127,agt,Blox7JVhRko,Angel City Chorale: Amazing Choir Earns Golden Buzzer From Olivia Munn,https://www.instagram.com/tv/Blox7JVhRko/,5:35,28610,34,1148,"The diverse choir stunned the audience with ""Baba Yetu"" and earned guest judge Olivia Munn's Golden Buzzer.",
128,agt,BldsSGLA17p,Shin Lim: Proves Magic Is Real With Unbelievable Card Tricks,https://www.instagram.com/tv/BldsSGLA17p/,3:04,23075,22,870,Close-up magician Shin Lim surprises Olivia Munn with some of the best card tricks in AGT history.,
129,agt,Bla9kRsntRa,Talent University: Christian Stoinev,https://www.instagram.com/tv/Bla9kRsntRa/,2:26,14003,3,396,@Castoinev and Percy take teacher’s pet to another level at Talent University. ??????Created with our partner @dunkindonuts.,
130,agt,BlW0wfahMdO,Voices Of Hope Children's Choir: Moana Performance Earns Golden Buzzer,https://www.instagram.com/tv/BlW0wfahMdO/,5:43,34776,64,1961,Guest judge Ken Jeong was so inspired by this choir’s performance that he gave them his golden buzzer! Watch this children choir’s amazing rendition of “How Far I’ll Go”.,
131,agt,BlL8enaFPvr,Aaron Crow: Dangerously Shoots Apple Off Heidi Klum’s Head,https://www.instagram.com/tv/BlL8enaFPvr/,4:47,54287,48,1967,"OMG! Aaron Crow returns with an incredibly dangerous performance! Watch as he shoots an arrow through an apple on Heidi Klum's head, nearly missing her and Ken Jeong!",
132,agt,Bl--ONzFnHK,,https://www.instagram.com/tv/Bl--ONzFnHK/,,11206,9,207,@juniorandemilyalabi are getting physical with your education at Talent University! ?? Created with our partner @dunkindonuts.,
133,agt,BlJfDA9AStr,Duo Transcend: Performs Dangerous Trapeze Act,https://www.instagram.com/tv/BlJfDA9AStr/,3:33,26467,19,1094,This married couple from Salt Lake City performs a stunning trapeze performance. Watch as the stakes are high and they fly even higher.,
134,agt,BlGsRYClSt0,Aaron Crow: Pours Hot Wax On Eyes And Swings Sword At Howie Mandel,https://www.instagram.com/tv/BlGsRYClSt0/,5:46,21552,25,892,"Danger act Aaron Crow drips hot wax onto his eyes and grazes Howie's head with a sword. From slicing a pineapple with a sword, to breaking wooden boards with nunchucks, Aaron brings the danger to AGT.",
135,agt,BlFCN5JBZdV,"Makayla Phillips: 15-Year-Old Receives Golden Buzzer For ""Warrior""",https://www.instagram.com/tv/BlFCN5JBZdV/,4:37,75643,145,3925,"The teenager from Canyon Lake, CA performs ""Warrior"" by Demi Lovato. Watch as she earns the coveted Golden Buzzer from Heidi Klum, which sends her straight to the live shows at the Dolby Theater.",
136,agt,BlD1CxWHoOV,Yumbo Dump: Comedic Duo Makes Unbelievable Sounds With Their Bodies,https://www.instagram.com/tv/BlD1CxWHoOV/,3:42,20803,22,790,The noisemakers from Japan are bringing a new musical technique to AGT.,
137,agt,BlBc4VWnf6D,Zurcaroh: Golden Buzzer Worthy Aerial Dance Group Impresses Tyra Banks,https://www.instagram.com/tv/BlBc4VWnf6D/,4:29,25376,42,1616,The acrobatic dance troupe from Austria perform a stunning routine. This incredibly entertaining act earns a golden buzzer from Tyra Banks.,
138,agt,Bk-ybQ0HrdF,Shin Lim: Magician Blows Minds With Unbelievable Close-Up Magic,https://www.instagram.com/tv/Bk-ybQ0HrdF/,4:25,21596,24,956,"Shin Lim shocks the AGT audience with his mind-bending card magic, and will leave you omg-ing!",
139,agt,Bk8FL5nH8lR,Amanda Mena: The 15-Year-Old Earns Golden Buzzer From Mel B,https://www.instagram.com/tv/Bk8FL5nH8lR/,4:53,27676,51,1833,"The Massachusetts native scores the golden buzzer from scary spice herself, Mel B! See why the confetti falls with her rendition of ""Natural Woman.""",
140,agt,Bk5lAX-HlEt,"Angel Garcia: 12-Year-Old Sings Spanish Hit, 'El Triste'",https://www.instagram.com/tv/Bk5lAX-HlEt/,2:28,24816,60,1482,"Angel Garcia stuns the audience by singing the iconic song, ""El Triste.""",
141,agt,Bk24Tc0nl_4,Talent University: Merrick Hanna,https://www.instagram.com/tv/Bk24Tc0nl_4/,3:33,29986,34,1228,Professor @merrickhanna is taking atten-DANCE at Talent University. Don't be late! ?? Created with our partner @dunkindonuts.,
142,agt,Bkx5NJFnXjL,Michael Ketterer: Father Of 6 Scores Golden Buzzer From Simon Cowell,https://www.instagram.com/tv/Bkx5NJFnXjL/,5:30,22289,45,1354,"The pediatric mental health nurse from East Tennessee currently resides in Orange County, CA with his wife and six kids. Watch his dreams come true as Simon Cowell gives him the golden buzzer.",
143,agt,BkgrZaegAT2,Brody Ray: Transgender Singer Is Ready To Stand In The Light,https://www.instagram.com/tv/BkgrZaegAT2/,2:38,30455,49,1484,"The Nebraska native who currently resides in Nashville, TN performs a rousing rendition of Jordan Smith's ""Stand In The Light.""",
144,agt,BkgKXdzAH5L,Troy James: Terrifies Judges With Chilling Contortion,https://www.instagram.com/tv/BkgKXdzAH5L/,2:10,39881,72,1797,Troy James took a break from his day job in human resources to surprise the judges with his creepy contortion act.,
145,agt,BlBc4VWnf6D,,https://www.instagram.com/tv/BlBc4VWnf6D/,,25376,42,1616,The acrobatic dance troupe from Austria perform a stunning routine. This incredibly entertaining act earns a golden buzzer from Tyra Banks.,
146,agt,BkQTCZ-hKf4,Courtney Hadwin: 13-Year-Old Golden Buzzer Winning Performance,https://www.instagram.com/tv/BkQTCZ-hKf4/,4:05,717811,1425,30508,We did not see that coming! You won't believe the performance from this eccentric teenager. Courtney earned Howie Mandel's Golden Buzzer sending her straight to the live shows of America's Got Talent.,
147,ninjawarrior,B08pz25ACRS,Lightning always strikes when @JoeMoravsky takes on the course. ??,https://www.instagram.com/tv/B08pz25ACRS/,3:15,32523,81,7465,#AmericanNinjaWarrior takes Baltimore by storm MONDAY 8/7c on @nbc.,2019-08-09
148,ninjawarrior,B0ziwv0gGUa,You can see the determination in their eyes! #AmericanNinjaWarrior,https://www.instagram.com/tv/B0ziwv0gGUa/,2:00,25412,14,3724,,2019-08-06
149,ninjawarrior,B0za7uyAcch,@JESSIEgraffPWR just showed city finals who’s BOSS.,https://www.instagram.com/tv/B0za7uyAcch/,5:40,64978,271,15.1k,,2019-08-06
150,ninjawarrior,B0zWOhSgcqW,@karsonvoiles’s heart couldn’t be bigger running the course for his father.,https://www.instagram.com/tv/B0zWOhSgcqW/,3:27,18596,19,3734,,2019-08-06
151,ninjawarrior,B0qvwUeAWC4,@Zimmpossible knows what it takes to be one of the greats.,https://www.instagram.com/tv/B0qvwUeAWC4/,3:51,28934,35,5029,#AmericanNinjaWarrior City Finals continue in Seattle MONDAY 8/7c on @nbc.,2019-08-02
152,ninjawarrior,B0lnYUigrYo,This run by @joshuapayneharris is BANANAS! ?,https://www.instagram.com/tv/B0lnYUigrYo/,4:13,17482,29,3360,,2019-07-31
153,ninjawarrior,B0hgCI2gswB,We can't pick our jaws up from the floor watching these Ninjas conquer.,https://www.instagram.com/tv/B0hgCI2gswB/,3:53,22601,10,3706,,2019-07-30
154,ninjawarrior,B0hdkc_AfhP,@Kingdom_Ninja is truly the KING.,https://www.instagram.com/tv/B0hdkc_AfhP/,3:22,34052,77,6780,,2019-07-30
155,ninjawarrior,B0hTLFXg3IU,@nvr_gvup's determination is unstoppable. ?,https://www.instagram.com/tv/B0hTLFXg3IU/,5:09,35724,92,6352,,2019-07-30
156,ninjawarrior,B0YvNONggWY,"@nvr_gvup always puts others first, but it's time for her to SHINE.",https://www.instagram.com/tv/B0YvNONggWY/,3:48,49366,167,9100,#AmericanNinjaWarrior takes OKC by storm MONDAY 8/7c on @nbc.,2019-07-26
157,ninjawarrior,B0Tjl50AUuT,@TylercGillett is one to watch for in the Las Vegas finals.,https://www.instagram.com/tv/B0Tjl50AUuT/,3:35,18443,18,3729,,2019-07-24
158,ninjawarrior,B0PeBn4gwe-,These Ninjas gave it their absolute all out on the course.,https://www.instagram.com/tv/B0PeBn4gwe-/,2:03,22240,7,3372,,2019-07-23
159,ninjawarrior,B0Pbj7dgFUD,@reallifeninja is stopping at nothing for another shot at the finals.,https://www.instagram.com/tv/B0Pbj7dgFUD/,3:38,47519,160,10.9k,,2019-07-23
160,ninjawarrior,B0PYrU0AXFr,"@ryan_strat put BLOOD, sweat, and tears into his city finals run.",https://www.instagram.com/tv/B0PYrU0AXFr/,4:27,32069,50,6170,,2019-07-23
161,ninjawarrior,B0HVjyOAXos,@amandamasongsong proves why she's our Snapchat champion!,https://www.instagram.com/tv/B0HVjyOAXos/,1:53,24922,15,3731,,2019-07-19
162,ninjawarrior,B0G9FVKADF0,"@themakerninja doesn't just invent obstacles, he dominates them. ?",https://www.instagram.com/tv/B0G9FVKADF0/,4:49,88759,125,9750,City Finals continue in Atlanta MONDAY 8/7c on @nbc. #AmericanNinjaWarrior,2019-07-19
163,ninjawarrior,B0GqcibgzFs,Started from the Snapchat competition now Landon is HERE.,https://www.instagram.com/tv/B0GqcibgzFs/,2:05,25931,13,4243,,2019-07-19
164,ninjawarrior,B0ByVUYA17q,@MinneSoderman showed the LA City Finals who's boss! #AmericanNinjaWarrior,https://www.instagram.com/tv/B0ByVUYA17q/,3:27,28625,21,4748,,2019-07-17
165,ninjawarrior,Bz9bab4neWF,These Ninjas had us on the edge of our seats. #AmericanNinjaWarrior,https://www.instagram.com/tv/Bz9bab4neWF/,2:31,26696,14,4782,,2019-07-16
166,ninjawarrior,Bz9YrTgnwOr,There's a reason @Youngflip7 is one of the greats. WOW.,https://www.instagram.com/tv/Bz9YrTgnwOr/,2:17,58767,60,8678,,2019-07-16
167,ninjawarrior,Bz9SQVmHnnQ,@Kevin_The_Bull isn't one to mess with. ?,https://www.instagram.com/tv/Bz9SQVmHnnQ/,3:24,71710,59,8719,,2019-07-16
168,ninjawarrior,Bz1avDOgH2t,City Qualifiers brought out the beasts in all our competitors. ?,https://www.instagram.com/tv/Bz1avDOgH2t/,4:13,58304,45,5960,,2019-07-12
169,ninjawarrior,Bz02q85ghMZ,"@thebriankretsch has competed EVERY season, but this run is unlike the rest",https://www.instagram.com/tv/Bz02q85ghMZ/,2:48,29224,70,4287,#AmericanNinjaWarrior continues with LA City finals MONDAY 8/7c on @nbc.,2019-07-12
170,ninjawarrior,Bzra_nSAMas,Nothing fuels these Ninjas more than their strong support systems!,https://www.instagram.com/tv/Bzra_nSAMas/,2:03,89336,28,6166,,2019-07-09
171,ninjawarrior,BzrYBr6AUSV,"Bride to be, @flexlabreck DOM-IN-NATED the course! ?",https://www.instagram.com/tv/BzrYBr6AUSV/,2:51,68545,157,12.9k,,2019-07-09
172,ninjawarrior,BzrVqTtAfnB,@EthanSwanson conquered EVERY fear out on the course.,https://www.instagram.com/tv/BzrVqTtAfnB/,1:46,134466,80,8864,,2019-07-09
173,ninjawarrior,BzilJmygosw,@islandninja’s in it to WIN IT. ??,https://www.instagram.com/tv/BzilJmygosw/,3:06,168400,97,11.2k,#AmericanNinjaWarrior is all-new Monday 8/7c on NBC.,2019-07-05
174,ninjawarrior,BzZaPhagEQj,"Dedication, redemption and heart make up these epic Ninjas.",https://www.instagram.com/tv/BzZaPhagEQj/,2:15,37895,23,4420,,2019-07-02
175,ninjawarrior,BzZX5fAgWa-,"@the.flying.phoenix didn't come here to PLAY, he came to WIN.",https://www.instagram.com/tv/BzZX5fAgWa-/,3:46,216556,103,14.9k,,2019-07-02
176,ninjawarrior,BzZWDZhgFPG,"It may be summer, but @allyssabeird is putting class back in session.",https://www.instagram.com/tv/BzZWDZhgFPG/,2:10,59227,35,6819,,2019-07-02
177,ninjawarrior,BzQmy-CgOmQ,@JoeMoravsky is bringing the electricity to the course. ??,https://www.instagram.com/tv/BzQmy-CgOmQ/,2:21,92744,105,8993,#AmericanNinjaWarrior kicks off in Baltimore MONDAY 8/7c on NBC.,2019-06-28
178,ninjawarrior,BzOI5NOgDvF,@JessieGraffPWR returned with one heroic run. #AmericanNinjaWarrior,https://www.instagram.com/tv/BzOI5NOgDvF/,3:37,161357,136,12.8k,,2019-06-27
179,ninjawarrior,BzLnRnsAh9R,@meyer_jax crushed it in Tacoma. Scout's honor. ??,https://www.instagram.com/tv/BzLnRnsAh9R/,1:05,46350,30,4116,,2019-06-26
180,ninjawarrior,BzHYZzDArq5,Blink and you might miss these epic runs. #AmericanNinjaWarrior,https://www.instagram.com/tv/BzHYZzDArq5/,3:02,196226,55,9957,,2019-06-25
181,ninjawarrior,BzHWVF4A0U1,Yee and @LancePekus cannot stress this enough...HAW. ?,https://www.instagram.com/tv/BzHWVF4A0U1/,2:52,66213,103,9522,,2019-06-25
182,ninjawarrior,BzHMfEHgEMa,@zimmpossible just made HISTORY! #AmericanNinjaWarrior,https://www.instagram.com/tv/BzHMfEHgEMa/,4:06,85298,281,14.2k,,2019-06-25
183,ninjawarrior,By--yNcgQBW,@JESSIEgraffPWR's return is nothing short of epic. #AmericanNinjaWarrior,https://www.instagram.com/tv/By--yNcgQBW/,2:00,201822,133,14.2k,,2019-06-21
184,ninjawarrior,By5eAFYgW7_,The grass is always greener for @andrizoWarrior. #AmericanNinjaWarrior,https://www.instagram.com/tv/By5eAFYgW7_/,2:38,27483,33,4530,,2019-06-19
185,ninjawarrior,By1WWY3A4UM,These Ninjas are straight fire ?. #AmericanNinjaWarrior,https://www.instagram.com/tv/By1WWY3A4UM/,4:01,54846,35,5474,,2019-06-18
186,ninjawarrior,By1UpHqg975,Make way for the KING!?#AmericanNinjaWarrior,https://www.instagram.com/tv/By1UpHqg975/,1:38,279276,187,19k,,2019-06-18
187,ninjawarrior,By1PDbHgr-7,@sparklyninja is BACK and better than ever! ? #AmericanNinjaWarrior,https://www.instagram.com/tv/By1PDbHgr-7/,4:02,121929,72,10.3k,,2019-06-18
188,ninjawarrior,ByxwWj_g9hQ,@tmortimer08 is one of the many reasons why we celebrate our dads today.,https://www.instagram.com/tv/ByxwWj_g9hQ/,2:36,48951,54,6435,,2019-06-16
189,ninjawarrior,Byag_5og4Op,FEAR. THE. BEARD #AmericanNinjaWarrior,https://www.instagram.com/tv/Byag_5og4Op/,4:15,54206,53,6553,,2019-06-07
190,ninjawarrior,ByWdDzngXyR,We're constantly impressed with the endurance these Ninjas bring.,https://www.instagram.com/tv/ByWdDzngXyR/,2:15,48027,21,4497,,2019-06-06
191,ninjawarrior,ByWa9rtAWHW,He's called the @reallifeninja for a reason. ? #AmericanNinjaWarrior,https://www.instagram.com/tv/ByWa9rtAWHW/,1:36,320199,254,19.6k,,2019-06-06
192,ninjawarrior,ByWX79dAI5M,@ninjajessclay is proof that anything is possible. #AmericanNinjaWarrior,https://www.instagram.com/tv/ByWX79dAI5M/,4:35,278585,90,17.5k,,2019-06-06
193,ninjawarrior,ByQQpmBA6gv,May the best pet win!,https://www.instagram.com/tv/ByQQpmBA6gv/,1:37,117869,253,13k,A special @secretlifeofpets edition of #AmericanNinjaWarrior airs Wednesday 8/7c on @NBC.,2019-06-03
194,ninjawarrior,ByIgOEzAZxg,@imalexweber is LITERALLY crashing the course! Go Alex go!,https://www.instagram.com/tv/ByIgOEzAZxg/,2:01,68940,30,6912,,2019-05-31
195,ninjawarrior,ByEcBN_gs7C,"@TheChadFlexington, @mrsuccessfu1, and @burkinator500 blew us away!",https://www.instagram.com/tv/ByEcBN_gs7C/,1:56,59998,19,4970,Don’t miss American Ninja Warrior Wednesdays 8/7c on NBC.,2019-05-30
196,ninjawarrior,ByEYn45gN9O,"Don't mess with @Kevin_the_bull, you'll get the horns.",https://www.instagram.com/tv/ByEYn45gN9O/,1:49,1078995,595,50.6k,Don’t miss American Ninja Warrior Wednesdays 8/7c on NBC.,2019-05-30
197,ninjawarrior,Bx-K0CRg3hK,"When it comes to the #AmericanNinjaWarriorCourse, @youngflip7 is fearless.",https://www.instagram.com/tv/Bx-K0CRg3hK/,2:56,392350,179,19.5k,American Ninja Warrior returns Wednesday 8/7c on@nbc.,2019-05-27
198,ninjawarrior,BnphojBBW4C,Ninja Warrior Weekly: Las Vegas Night 3,https://www.instagram.com/tv/BnphojBBW4C/,6:36,14887,9,613,"Host Allyson Felix recaps all the biggest moments from the season&#x27;s finale episode. Plus, watch the ninjas talk about their favorite moments from Season 10.",2018-09-13
