,ig_handle,igtv_code,title,url,video_length,views,comment_count,likes,caption,upload_date
86,agt,BzJ4KUmBTh-,@emannebeasha’s voice is stunning! No magic ice cream required! ?? #AGT,https://www.instagram.com/tv/BzJ4KUmBTh-/,3:29,349044,,49946,,
87,agt,BzJvhqThidR,Do not ask @sideshowopera to pass the silverware. ?? #AGT,https://www.instagram.com/tv/BzJvhqThidR/,7:32,118627,124,19339,,
88,agt,BzD2I-fhNcf,@izzyandeaston are absolutely captivating! ? #AGT,https://www.instagram.com/tv/BzD2I-fhNcf/,4:01,839428,1360,101206,,
89,agt,By-mjvKBggK,Out of the shadows comes a story of love. @VerbaShadow wows Tuesday on #AGT,https://www.instagram.com/tv/By-mjvKBggK/,5:31,197295,669,36513,,
90,agt,By36dqTBG1l,The ceiling can’t hold @terrycrews’ Golden Buzzer! ?? #AGT,https://www.instagram.com/tv/By36dqTBG1l/,9:34,301852,1459,55359,,
91,agt,By3z8kSBteV,WOW! @ademshow just defied the laws of...everything? ? #AGT,https://www.instagram.com/tv/By3z8kSBteV/,5:41,174030,,26503,,
92,agt,Byx9ovYHi6v,Second chances can change lives.,https://www.instagram.com/tv/Byx9ovYHi6v/,4:49,592469,,69067,The search for new talent continues on #AGT TUESDAY 8/7c on @nbc.,
93,agt,Bysix2Ph5aP,Nine dogs. Four humans. One wild ride. #AGT is all-new TUESDAY 8/7c on @NBC,https://www.instagram.com/tv/Bysix2Ph5aP/,3:46,130462,140,19448,,
94,agt,ByshkbphgcO,Nine dogs. Four humans. One wild ride. #AGT is all-new TONIGHT 8/7c on @NBC,https://www.instagram.com/tv/ByshkbphgcO/,3:46,11561,9,645,,
95,agt,Byl5C7UB0g7,"@tylerbutlerfigueroaviolinist, earned his place at the live shows! ?? #AGT",https://www.instagram.com/tv/Byl5C7UB0g7/,8:00,483636,3877,97447,,
96,agt,BylweT-BnSS,Our grandpas are stronger than your grandpas. ???? #AGT,https://www.instagram.com/tv/BylweT-BnSS/,3:19,335643,,49005,,
97,agt,Byfm3PQhAuC,@DomjChambers: voted best person to go to the bar with. ?,https://www.instagram.com/tv/Byfm3PQhAuC/,5:14,125478,130,17989,#AGT Continues Tues 8/7c on @NBC.,
98,agt,ByajaLJh6tS,@charlottesummersofficial put a spell on us! ? #AGT,https://www.instagram.com/tv/ByajaLJh6tS/,4:03,301660,516,44924,The search for talent continues Tues 8/7c on @NBC.,
99,agt,ByT3O8GB2Sw,@itsjosephallen had the audience on their feet right from the start! ?#AGT,https://www.instagram.com/tv/ByT3O8GB2Sw/,9:28,193341,754,36980,,
100,agt,ByT0ycPhTUg,@LBKidsOfficial lit up the stage! ?? #AGT,https://www.instagram.com/tv/ByT0ycPhTUg/,3:58,147964,,23854,,
101,agt,ByTrvPkhJOi,@beniciobryant hit the judges with raw talent and authenticity. ? #AGT,https://www.instagram.com/tv/ByTrvPkhJOi/,4:49,292610,882,47720,,
102,agt,ByK-PH8Bf3k,Coconuts: ? Blindfold: ? Sledgehammer? ?,https://www.instagram.com/tv/ByK-PH8Bf3k/,5:42,177163,345,21947,You won’t want to miss #AGT this Tuesday 8/7c on @nbc.,
103,agt,ByB2AU5B-x7,@kodileerocks touched all of our hearts tonight. ???? #AGTPremiere,https://www.instagram.com/tv/ByB2AU5B-x7/,8:14,850145,6809,157283,,
104,agt,ByBsK_CheGu,You HAVE to see @SophiePecora’s moving performance! ??,https://www.instagram.com/tv/ByBsK_CheGu/,7:21,224437,627,31912,,
105,agt,Bx2aXA6B_jM,There’s a reason their name is V.Unbeatable!,https://www.instagram.com/tv/Bx2aXA6B_jM/,2:18,238510,766,37378,See for yourself on the season premiere of #AGT Tuesday 8/7c on @NBC.,
106,agt,BnrIVh_HruY,Talent University: Jon Dorenbos,https://www.instagram.com/tv/BnrIVh_HruY/,3:15,30885,8,756,Get ready to be the cool kid at Talent University when @JonDorenbos teaches you this card trick. ?? Created with our partner @DunkinDonuts.,
